title,total_gross,gross,return_rate,std_IMDB,std_Meta,rating,distributor,release_date,release_month,release_year,genre,mins,MPAA_rating,budget (millions),theatres,totalweek,IMDB_rating,director,stars,Metascore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012OSCARNOMINATEDSHORTFILMS,"1,702,415","1,447,477",#VALUE!,#VALUE!,#VALUE!,#VALUE!,SHORTS INTERNATIONAL,2012/2/10,2,2012,Unknown,#VALUE!,Unrated,N/A,120,7,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012TIMEFORCHANGE,"68,339","61,182",#VALUE!,#VALUE!,#VALUE!,#VALUE!,MANGUSTA PRODUCTIONS,2010/4/9,4,2010,Documentary,#VALUE!,Unrated,N/A,1,12,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013OSCARNOMINATEDSHORTFILMS,"2,142,342","1,795,136",#VALUE!,#VALUE!,#VALUE!,#VALUE!,SHORTS INTERNATIONAL,2013/2/1,2,2013,Unknown,#VALUE!,Unrated,N/A,105,7,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014OSCARNOMINATEDSHORTFILMS,"2,171,849","1,790,849",#VALUE!,#VALUE!,#VALUE!,#VALUE!,SHORTS INTERNATIONAL,2014/1/31,1,2014,Unknown,#VALUE!,Unrated,N/A,105,4,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016OBAMASAMERICA,"33,449,086","28,440,058",#VALUE!,#VALUE!,-1.765861365,#VALUE!,ROCKY MOUNTAIN PICTURES,2012/7/13,7,2012,Documentary,89,PG,N/A,1,13,NA,NA,NA,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20FEETFROMSTARDOM,"4,946,445","4,144,782",#VALUE!,#VALUE!,1.519537196,#VALUE!,RADIUS-TWC,2013/6/14,6,2013,Documentary,90,PG-13,N/A,3,53,NA,NA,NA,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"81,159,365",73600344.58 ,2.318839,0.575224156,-0.57117098,0.004053176,SONY / COLUMBIA,2008/3/28,3,2008,Drama,123,PG-13,35,2648,8,6.8,Robert Luketic,"Jim Sturgess,Kate Bosworth,Kevin Spacey",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21ANDOVER,"25,682,380",21520077.30 ,1.975567692,-0.273853135,-1.40745425,-1.681307384,RELATIVITY,2013/3/1,3,2013,Comedy,93,R,13,2771,11,5.9,"Jon Lucas,Scott Moore","Miles Teller,Justin Chon,Jonathan Keltz",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21JUMPSTREET,"138,447,667",117715014.80 ,3.296373024,0.952591841,0.683253926,1.635845766,SONY / COLUMBIA,2012/3/16,3,2012,Action Comedy,109,R,42,3121,15,7.2,"Phil Lord,Christopher Miller","Jonah Hill,Channing Tatum,Ice Cube",69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22JUMPSTREET,"191,719,337",158086683.06 ,3.83438674,0.85824992,0.802722964,1.660972884,SONY / COLUMBIA,2014/6/13,6,2014,Action Comedy,112,R,50,3306,17,7.1,"Phil Lord,Christopher Miller","Channing Tatum,Jonah Hill,Ice Cube",71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23BLAST,"549,185","452,843",#VALUE!,-0.273853135,-0.750374537,-1.024227672,OCEAN AVENUE ENTERTAINMENT,2014/10/24,10,2014,Sports Drama,98,PG-13,N/A,617,4,5.9,Dylan Baker,"Mark Hapka,Bram Hoover,Stephen Lang",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24CITY,"30,800","28,027",#VALUE!,#VALUE!,1.041661041,#VALUE!,CINEMA GUILD,2009/6/5,6,2009,Foreign,112,Unrated,N/A,1,6,NA,NA,NA,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27DRESSES,"76,808,654",69654850.08 ,2.560288467,-0.085169292,-0.630905499,-0.716074791,FOX,2008/1/18,1,2008,Romantic Comedy,107,PG-13,30,3057,19,6.1,Anne Fletcher,"Katherine Heigl,James Marsden,Malin Akerman",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28HOTELROOMS,"18,869","16,043",#VALUE!,-0.368195056,-0.451701941,-0.819896997,OSCILLOSCOPE PICTURES,2012/11/9,11,2012,Drama,82,Unrated,N/A,1,5,5.8,Matt Ross,"Marin Ireland,Chris Messina,Robert Deamer",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28WEEKSLATER,"28,638,916",26971449.30 ,#VALUE!,0.763907998,1.220864599,1.984772598,FOX ATOMIC,2007/5/11,5,2007,Horror,91,R,N/A,2303,14,7,Juan Carlos Fresnadillo,"Jeremy Renner,Rose Byrne,Robert Carlyle",78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2DAYSINNEWYORK,"633,210","538,386",#VALUE!,-0.179511214,0.205377771,0.025866558,MAGNOLIA,2012/8/10,8,2012,Comedy,91,R,N/A,8,14,6,Julie Delpy,"Julie Delpy,Chris Rock,Albert Delpy",61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2DAYSINPARIS,"4,433,994",4175829.99 ,#VALUE!,0.669566077,0.563784887,1.233350964,SAMUEL GOLDWYN,2007/8/10,8,2007,Comedy / Drama,94,R,N/A,10,17,6.9,Julie Delpy,"Julie Delpy,Adam Goldberg,Daniel Br??hl",67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2GUNS,"75,612,460",63358068.22 ,1.239548525,0.575224156,-0.153029345,0.422194811,UNIVERSAL,2013/8/2,8,2013,Action Comedy,109,R,61,3025,12,6.8,Baltasar Korm??kur,"Denzel Washington,Mark Wahlberg,Paula Patton",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2STATES,"2,238,174",1845538.95 ,#VALUE!,0.85824992,#VALUE!,#VALUE!,UTV COMMUNICATIONS,2014/4/18,4,2014,Foreign,135,Unrated,N/A,135,6,7.1,Abhishek Varman,"Arjun Kapoor,Alia Bhatt,Amrita Singh",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
